Shasti,01-01-0001,00:00:00,27-03-2023,12:57:00
Sapthami,27-03-2023,12:57:00,28-03-2023,14:32:00
Astami,28-03-2023,14:32:00,29-03-2023,16:37:00
Navami,29-03-2023,16:37:00,30-03-2023,19:00:00
Thasami,30-03-2023,19:00:00,31-03-2023,21:28:00
Egadashi,31-03-2023,21:28:00,01-04-2023,23:49:00
Duvadasi,01-04-2023,23:49:00,03-04-2023,01:54:00
Thirayodasi,03-04-2023,01:54:00,04-04-2023,03:35:00
Sathuradasi,04-04-2023,03:35:00,05-04-2023,04:49:00
Pournami,05-04-2023,04:49:00,06-04-2023,05:34:00
Pirathamai,06-04-2023,05:34:00,07-04-2023,05:50:00
Thuthiyai,07-04-2023,05:50:00,08-04-2023,05:40:00
Thiruthiyai,08-04-2023,05:40:00,09-04-2023,05:05:00
Sathurthi,09-04-2023,05:05:00,10-04-2023,04:07:00
Panjami,10-04-2023,04:07:00,11-04-2023,02:47:00
Shasti,11-04-2023,02:47:00,12-04-2023,01:09:00
Sapthami,12-04-2023,01:09:00,12-04-2023,23:14:00
Astami,12-04-2023,23:14:00,13-04-2023,21:04:00
Navami,13-04-2023,21:04:00,14-04-2023,18:43:00
Thasami,14-04-2023,18:43:00,15-04-2023,16:15:00
Egadashi,15-04-2023,16:15:00,16-04-2023,13:44:00
Duvadasi,16-04-2023,13:44:00,17-04-2023,11:16:00
Thirayodasi,17-04-2023,11:16:00,18-04-2023,08:57:00
Sathuradasi,18-04-2023,08:57:00,19-04-2023,06:53:00
Amavasai,18-04-2023,08:57:00,20-04-2023,05:11:00
Pirathamai,19-04-2023,06:53:00,21-04-2023,03:58:00
Thuthiyai,21-04-2023,03:58:00,22-04-2023,03:19:00
Thiruthiyai,22-04-2023,03:19:00,23-04-2023,03:17:00
Sathurthi,23-04-2023,03:17:00,24-04-2023,03:54:00
Panjami,24-04-2023,03:54:00,25-04-2023,05:09:00
Shasti,25-04-2023,05:09:00,26-04-2023,00:00:00
Shasti,26-04-2023,00:00:00,26-04-2023,06:57:00
Sapthami,26-04-2023,06:57:00,27-04-2023,09:08:00
Astami,27-04-2023,09:08:00,28-04-2023,11:31:00
Navami,28-04-2023,11:31:00,29-04-2023,13:52:00
Thasami,29-04-2023,13:52:00,30-04-2023,15:58:00
Egadashi,30-04-2023,15:58:00,01-05-2023,17:39:00
Duvadasi,01-05-2023,17:39:00,02-05-2023,18:47:00
Thirayodasi,02-05-2023,18:47:00,03-05-2023,19:19:00
Sathuradasi,03-05-2023,19:19:00,04-05-2023,19:14:00
Pournami,04-05-2023,19:14:00,05-05-2023,18:33:00
Pirathamai,05-05-2023,18:33:00,06-05-2023,17:22:00
Thuthiyai,06-05-2023,17:22:00,07-05-2023,15:45:00
Thiruthiyai,07-05-2023,15:45:00,08-05-2023,13:48:00
Sathurthi,08-05-2023,13:48:00,09-05-2023,11:38:00
Panjami,09-05-2023,11:38:00,10-05-2023,09:19:00
Shasti,10-05-2023,09:19:00,11-05-2023,06:57:00
Sapthami,10-05-2023,09:19:00,12-05-2023,04:36:00
Astami,11-05-2023,06:57:00,13-05-2023,02:20:00
Navami,13-05-2023,02:20:00,14-05-2023,00:12:00
Thasami,14-05-2023,00:12:00,14-05-2023,22:16:00
Egadashi,14-05-2023,22:16:00,15-05-2023,20:33:00
Duvadasi,15-05-2023,20:33:00,16-05-2023,19:06:00
Thirayodasi,16-05-2023,19:06:00,17-05-2023,17:58:00
Sathuradasi,17-05-2023,17:58:00,18-05-2023,17:12:00
Amavasai,18-05-2023,17:12:00,19-05-2023,16:52:00
Pirathamai,19-05-2023,16:52:00,20-05-2023,17:00:00
Thuthiyai,20-05-2023,17:00:00,21-05-2023,17:39:00
Thiruthiyai,21-05-2023,17:39:00,22-05-2023,18:48:00
Sathurthi,22-05-2023,18:48:00,23-05-2023,20:27:00
Panjami,23-05-2023,20:27:00,24-05-2023,22:30:00
Shasti,24-05-2023,22:30:00,26-05-2023,00:49:00
Sapthami,26-05-2023,00:49:00,27-05-2023,03:12:00
Astami,27-05-2023,03:12:00,28-05-2023,00:00:00
Astami,28-05-2023,00:00:00,28-05-2023,05:26:00
Navami,28-05-2023,05:26:00,29-05-2023,07:19:00
Thasami,29-05-2023,07:19:00,30-05-2023,08:37:00
Egadashi,30-05-2023,08:37:00,31-05-2023,09:15:00
Duvadasi,31-05-2023,09:15:00,01-06-2023,09:09:00
Thirayodasi,01-06-2023,09:09:00,02-06-2023,08:18:00
Sathuradasi,02-06-2023,08:18:00,03-06-2023,06:46:00
Pournami,02-06-2023,08:18:00,04-06-2023,04:41:00
Pirathamai,03-06-2023,06:46:00,05-06-2023,02:08:00
Thuthiyai,05-06-2023,02:08:00,05-06-2023,23:18:00
Thiruthiyai,05-06-2023,23:18:00,06-06-2023,20:20:00
Sathurthi,06-06-2023,20:20:00,07-06-2023,17:20:00
Panjami,07-06-2023,17:20:00,08-06-2023,14:28:00
Shasti,08-06-2023,14:28:00,09-06-2023,11:50:00
Sapthami,09-06-2023,11:50:00,10-06-2023,09:31:00
Astami,10-06-2023,09:31:00,11-06-2023,07:35:00
Navami,11-06-2023,07:35:00,12-06-2023,06:04:00
Thasami,12-06-2023,06:04:00,13-06-2023,04:58:00
Egadashi,12-06-2023,06:04:00,14-06-2023,04:18:00
Duvadasi,13-06-2023,04:58:00,15-06-2023,04:02:00
Thirayodasi,15-06-2023,04:02:00,16-06-2023,04:09:00
Sathuradasi,16-06-2023,04:09:00,17-06-2023,04:41:00
Amavasai,17-06-2023,04:41:00,18-06-2023,00:00:00
Amavasai,18-06-2023,00:00:00,18-06-2023,05:36:00
Pirathamai,18-06-2023,05:36:00,19-06-2023,06:55:00
